id,level 1,level 2,level 3,level 4,level 5
1,Direct,,,,
4,Direct,Capex,,,
34,Direct,Capex,Machinery & Equipment,,
5,Direct,Chemicals,,,
35,Direct,Chemicals,Formulation,,
36,Direct,Chemicals,Process,,
37,Direct,Chemicals,Saline Solutions Salts,,
6,Direct,Direct Packaging,,,
38,Direct,Direct Packaging,Blister Label,,
39,Direct,Direct Packaging,Blisters,,
40,Direct,Direct Packaging,Bottle,,
41,Direct,Direct Packaging,Button (Lathing),,
42,Direct,Direct Packaging,Caps,,
43,Direct,Direct Packaging,Carton,,
44,Direct,Direct Packaging,Foil,,
45,Direct,Direct Packaging,Labels,,
46,Direct,Direct Packaging,Packaging Material,,
47,Direct,Direct Packaging,Secondary,,
48,Direct,Direct Packaging,Shrinkwrap Direct,,
49,Direct,Direct Packaging,Sleeve,,
50,Direct,Direct Packaging,Stopper,,
51,Direct,Direct Packaging,Vial,,
7,Direct,Direct Product Srvs (incl. subcontracting),,,
52,Direct,Direct Product Srvs (incl. subcontracting),Sterlization,,
8,Direct,Freight,,,
53,Direct,Freight,LTL,,
54,Direct,Freight,Ocean,,
55,Direct,Freight,Postage,,
56,Direct,Freight,Small Package,,
57,Direct,Freight,Third Party Logisitcs,,
58,Direct,Freight,Truckload,,
9,Direct,Indirect Packaging,,,
59,Direct,Indirect Packaging,Case,,
60,Direct,Indirect Packaging,Pallets,,
61,Direct,Indirect Packaging,Shrinkwrap Indirect,,
62,Direct,Indirect Packaging,Strapping,,
63,Direct,Indirect Packaging,Trays,,
10,Direct,MRO - Direct,,,
64,Direct,MRO - Direct,Consumables,,
65,Direct,MRO - Direct,Electrical Direct,,
66,Direct,MRO - Direct,Fasteners,,
67,Direct,MRO - Direct,Gas Direct,,
68,Direct,MRO - Direct,General Industrial Supplies,,
69,Direct,MRO - Direct,Hydraulics,,
70,Direct,MRO - Direct,Lab Supplies,,
71,Direct,MRO - Direct,Mechanical,,
72,Direct,MRO - Direct,Pneumatical,,
73,Direct,MRO - Direct,PPE,,
11,Direct,Polymer,,,
74,Direct,Polymer,Polymer (L3),,
12,Direct,Saline,,,
75,Direct,Saline,Saline (L3),,
13,Direct,Storage,,,
76,Direct,Storage,Containers,,
77,Direct,Storage,Off Site,,
2,Indirect,,,,
14,Indirect,CRE Mgmt. & Services,,,
78,Indirect,CRE Mgmt. & Services,Break Room Supplies and Consumables,,
79,Indirect,CRE Mgmt. & Services,Building & Facilities,,
80,Indirect,CRE Mgmt. & Services,Cafeteria Services,,
81,Indirect,CRE Mgmt. & Services,CAM Charges,,
82,Indirect,CRE Mgmt. & Services,Document/Media Storage and Destruction,,
83,Indirect,CRE Mgmt. & Services,Electrical Indirect,,
84,Indirect,CRE Mgmt. & Services,Electricity,,
85,Indirect,CRE Mgmt. & Services,Flowers and Plants,,
86,Indirect,CRE Mgmt. & Services,Furniture and Fixtures,,
87,Indirect,CRE Mgmt. & Services,Gas Indirect,,
88,Indirect,CRE Mgmt. & Services,Janitorial Services & Equip.,,
89,Indirect,CRE Mgmt. & Services,Landscaping & Snow Removal,,
90,Indirect,CRE Mgmt. & Services,Maintenance & Construction,,
91,Indirect,CRE Mgmt. & Services,Office Supplies,,
92,Indirect,CRE Mgmt. & Services,Pest Control,,
93,Indirect,CRE Mgmt. & Services,Security Services,,
94,Indirect,CRE Mgmt. & Services,Utilities,,
199,Indirect,CRE Mgmt. & Services,Utilities,Electric,
200,Indirect,CRE Mgmt. & Services,Utilities,Gas,
201,Indirect,CRE Mgmt. & Services,Utilities,Water Utilities,
95,Indirect,CRE Mgmt. & Services,Waste Disposal,,
202,Indirect,CRE Mgmt. & Services,Waste Disposal,Chemical / Hazmat Disposal,
203,Indirect,CRE Mgmt. & Services,Waste Disposal,General Waste Disposal,
204,Indirect,CRE Mgmt. & Services,Waste Disposal,Recycling,
96,Indirect,CRE Mgmt. & Services,Water,,
15,Indirect,Financial Services,,,
97,Indirect,Financial Services,Accounting,,
98,Indirect,Financial Services,Audit,,
99,Indirect,Financial Services,Insurance Financial Services,,
100,Indirect,Financial Services,Retirement,,
101,Indirect,Financial Services,Tax Services,,
16,Indirect,HR - Indirect,,,
102,Indirect,HR - Indirect,Benefits,,
103,Indirect,HR - Indirect,CE/Conferences,,
104,Indirect,HR - Indirect,Fleet Mgmt,,
105,Indirect,HR - Indirect,Membership/Associations,,
106,Indirect,HR - Indirect,Recruitment,,
107,Indirect,HR - Indirect,Relocation,,
108,Indirect,HR - Indirect,Temporary Staffing,,
109,Indirect,HR - Indirect,Training,,
17,Indirect,Investor Relations,,,
110,Indirect,Investor Relations,Investor Relations (L3),,
111,Indirect,Investor Relations,Mail Svc - Filings And Proxy,,
112,Indirect,Investor Relations,Sec Reporting,,
18,Indirect,IT,,,
113,Indirect,IT,BI & Data Analytics Software,,
114,Indirect,IT,Computer Equipment,,
115,Indirect,IT,Contact Center Software,,
116,Indirect,IT,CRM Software,,
117,Indirect,IT,Data Security Software,,
118,Indirect,IT,Expense Management Software,,
119,Indirect,IT,Industry Software - Healthcare,,
128,Indirect,IT,IT Administration,,
223,Indirect,IT,IT Administration,Other,
120,Indirect,IT,IT Hardware,,
205,Indirect,IT,IT Hardware,Computers/Laptops and Accessories,
206,Indirect,IT,IT Hardware,Mobile devices,
207,Indirect,IT,IT Hardware,Mult-Functional Devices (MFDs),
208,Indirect,IT,IT Hardware,Network Hardware,
209,Indirect,IT,IT Hardware,Peripherals Hardware,
210,Indirect,IT,IT Hardware,Telephone,
121,Indirect,IT,IT Services,,
211,Indirect,IT,IT Services,Application Managed Services,
212,Indirect,IT,IT Services,Asset Disposal,
213,Indirect,IT,IT Services,Cloud Computing Services,
214,Indirect,IT,IT Services,Consulting Services,
215,Indirect,IT,IT Services,Hosting Services,
216,Indirect,IT,IT Services,Network,
122,Indirect,IT,IT Software,,
217,Indirect,IT,IT Software,Analytical Software,
218,Indirect,IT,IT Software,Business Software,
219,Indirect,IT,IT Software,Engineering software/support,
220,Indirect,IT,IT Software,Enterprise Software,
221,Indirect,IT,IT Software,IT Software (L4),
